SampleID	place	p_class	Eriophyoidea_family	geographic_emarcation	longitude	latitude	heigh	bio12	bio15	bio18	bio2	bio3	bio8	plant	Relationship	Group	Zoogeographical
FJ96_3	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.7439	24.5006	200	1439	59	498	64	28	263	2	Dicotyledoneae_Eriophyidae	DED	South China
FJ96_4	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.7439	24.5006	200	1439	59	498	64	28	263	2	Dicotyledoneae_Eriophyidae	DED	South China
FJ96_5	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.7439	24.5006	200	1439	59	498	64	28	263	2	Dicotyledoneae_Eriophyidae	DED	South China
FJ98_1	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.6833	25.0914	340	1653	59	658	75	32	200	28	Dicotyledoneae_Eriophyidae	DED	Central China
FJ98_2	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.6833	25.0914	340	1653	59	658	75	32	200	28	Dicotyledoneae_Eriophyidae	DED	Central China
FJ98_3	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.6833	25.0914	340	1653	59	658	75	32	200	28	Dicotyledoneae_Eriophyidae	DED	Central China
FJ98_4	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.6833	25.0914	340	1653	59	658	75	32	200	28	Dicotyledoneae_Eriophyidae	DED	Central China
FJ98_5	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.6833	25.0914	340	1653	59	658	75	32	200	28	Dicotyledoneae_Eriophyidae	DED	Central China
FJ99_1	FJ	Dicotyledoneae	Diptilomiopidae 	Subtropical evergreen broad-leaved forest	117.6833	25.0914	340	1653	59	658	75	32	200	28	Dicotyledoneae_Diptilomiopidae 	DED	Central China
FJ99_2	FJ	Dicotyledoneae	Diptilomiopidae 	Subtropical evergreen broad-leaved forest	117.6833	25.0914	340	1653	59	658	75	32	200	28	Dicotyledoneae_Diptilomiopidae 	DED	Central China
FJ99_3	FJ	Dicotyledoneae	Diptilomiopidae 	Subtropical evergreen broad-leaved forest	117.6833	25.0914	340	1653	59	658	75	32	200	28	Dicotyledoneae_Diptilomiopidae 	DED	Central China
FJ99_4	FJ	Dicotyledoneae	Diptilomiopidae 	Subtropical evergreen broad-leaved forest	117.6833	25.0914	340	1653	59	658	75	32	200	28	Dicotyledoneae_Diptilomiopidae 	DED	Central China
FJ99_5	FJ	Dicotyledoneae	Diptilomiopidae 	Subtropical evergreen broad-leaved forest	117.6833	25.0914	340	1653	59	658	75	32	200	28	Dicotyledoneae_Diptilomiopidae 	DED	Central China
GD142_1	GD	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	113.4873	23.6192	30	1955	67	802	85	34	246	4	Dicotyledoneae_Eriophyidae	DED	South China
GD142_2	GD	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	113.4873	23.6192	30	1955	67	802	85	34	246	4	Dicotyledoneae_Eriophyidae	DED	South China
GD142_3	GD	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	113.4873	23.6192	30	1955	67	802	85	34	246	4	Dicotyledoneae_Eriophyidae	DED	South China
GD142_4	GD	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	113.4873	23.6192	30	1955	67	802	85	34	246	4	Dicotyledoneae_Eriophyidae	DED	South China
GD142_5	GD	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	113.4873	23.6192	30	1955	67	802	85	34	246	4	Dicotyledoneae_Eriophyidae	DED	South China
GD143_2	GD	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	113.3668	23.1625	30	1723	65	773	81	34	276	0	Dicotyledoneae_Eriophyidae	DED	South China
GD143_3	GD	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	113.3668	23.1625	30	1723	65	773	81	34	276	0	Dicotyledoneae_Eriophyidae	DED	South China
GD143_4	GD	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	113.3668	23.1625	30	1723	65	773	81	34	276	0	Dicotyledoneae_Eriophyidae	DED	South China
GD143_5	GD	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	113.3668	23.1625	30	1723	65	773	81	34	276	0	Dicotyledoneae_Eriophyidae	DED	South China
GD144_1	GD	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	113.3668	23.1625	30	1723	65	773	81	34	276	0	Dicotyledoneae_Eriophyidae	DED	South China
GD144_2	GD	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	113.3668	23.1625	30	1723	65	773	81	34	276	0	Dicotyledoneae_Eriophyidae	DED	South China
GD144_3	GD	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	113.3668	23.1625	30	1723	65	773	81	34	276	0	Dicotyledoneae_Eriophyidae	DED	South China
GD144_4	GD	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	113.3668	23.1625	30	1723	65	773	81	34	276	0	Dicotyledoneae_Eriophyidae	DED	South China
GD144_5	GD	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	113.3668	23.1625	30	1723	65	773	81	34	276	0	Dicotyledoneae_Eriophyidae	DED	South China
GD145_1	GD	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	113.4873	23.6192	30	1955	67	802	85	34	246	4	Dicotyledoneae_Eriophyidae	DED	South China
GD145_2	GD	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	113.4873	23.6192	30	1955	67	802	85	34	246	4	Dicotyledoneae_Eriophyidae	DED	South China
GD145_3	GD	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	113.4873	23.6192	30	1955	67	802	85	34	246	4	Dicotyledoneae_Eriophyidae	DED	South China
GD145_4	GD	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	113.4873	23.6192	30	1955	67	802	85	34	246	4	Dicotyledoneae_Eriophyidae	DED	South China
GD145_5	GD	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	113.4873	23.6192	30	1955	67	802	85	34	246	4	Dicotyledoneae_Eriophyidae	DED	South China
GD146_1	GD	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	113.4873	23.6192	30	1955	67	802	85	34	246	4	Dicotyledoneae_Eriophyidae	DED	South China
GD146_4	GD	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	113.4873	23.6192	30	1955	67	802	85	34	246	4	Dicotyledoneae_Eriophyidae	DED	South China
